participant	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10
1	5	1	5	3	5	1	5	1	5	1
2	5	2	4	1	4	1	5	1	4	1
3	4	1	5	1	5	1	5	2	4	1
4	4	1	4	1	4	1	5	1	4	1
5	4	2	5	3	5	1	4	2	5	1
6	4	2	2	4	4	3	4	4	5	1
7	3	1	5	1	5	1	5	1	5	1
8	4	2	5	5	4	1	5	3	5	1
9	5	1	5	2	5	1	4	1	5	1
10	5	2	4	5	5	2	4	3	5	3
11	5	1	5	2	5	2	5	1	5	2
12	3	1	3	1	5	4	5	1	5	1
13	4	3	4	1	5	1	5	1	4	3
14	4	1	3	1	4	2	5	1	4	2
15	5	1	5	1	5	1	5	1	5	2
16	3	1	4	3	4	1	3	1	4	1
17	4	1	5	3	4	1	5	2	5	3
18	4	2	3	1	4	2	5	2	4	2
19	5	2	5	1	5	1	5	1	5	1
20	3	3	4	2	4	3	4	2	3	2
21	3	3	3	3	3	3	3	3	3	3
22	3	1	5	4	5	1	5	1	5	1
23	4	1	4	4	3	2	4	2	5	2
24	3	4	5	3	4	1	5	2	4	1
25	3	1	3	3	4	2	4	2	4	3
26	5	2	4	2	4	1	5	2	5	2
27	4	1	5	2	4	1	5	1	4	2
28	2	1	5	1	5	1	4	1	4	1
29	3	2	4	2	3	2	4	2	3	2
30	5	1	5	2	5	1	5	1	5	1
31	3	1	3	2	4	1	4	1	5	1
32	4	3	5	3	5	1	4	1	5	1
