timestamp,move1,move2,winner
Ctest tutorial
2024-02-01T12:41:44.197Z,scissors,rock,p2
2024-02-01T12:42:42.910Z,rock,scissors,p1
2024-02-01T12:43:00.698Z,paper,paper,Draw
Ctest - not blind
2024-02-01T12:44:07.380Z,scissors,scissors,Draw
2024-02-01T12:44:23.214Z,paper,scissors,p2
2024-02-01T12:44:37.807Z,invalid,paper,Invalid move
2024-02-01T12:45:03.837Z,rock,paper,p2
2024-02-01T12:45:19.920Z,paper,rock,p1
2024-02-01T12:45:34.727Z,paper,rock,p1
2024-02-01T12:45:48.442Z,scissors,rock,p2
2024-02-01T12:46:18.125Z,paper,scissors,p2
2024-02-01T12:46:31.834Z,scissors,scissors,Draw
2024-02-01T12:46:47.857Z,invalid,paper,Invalid move
2024-02-01T12:47:09.408Z,rock,paper,p2
2024-02-01T12:47:24.521Z,scissors,rock,p2
2024-02-01T12:47:39.130Z,rock,paper,p2
2024-02-01T12:48:02.492Z,scissors,scissors,Draw
Ctest - blind
2024-02-01T12:48:54.145Z,scissors,rock,p2
2024-02-01T12:49:09.346Z,paper,scissors,p2
2024-02-01T12:49:24.789Z,rock,scissors,p1
2024-02-01T12:49:42.234Z,scissors,scissors,Draw
2024-02-01T12:50:00.858Z,invalid,paper,Invalid move
2024-02-01T12:50:17.530Z,rock,paper,p2
2024-02-01T12:50:32.871Z,scissors,invalid,Invalid move
2024-02-01T12:50:56.014Z,paper,scissors,p2
2024-02-01T12:51:44.918Z,scissors,rock,p2
2024-02-01T12:52:03.943Z,rock,scissors,p1
2024-02-01T12:52:51.210Z,paper,scissors,p2
2024-02-01T12:53:17.306Z,rock,rock,Draw
2024-02-01T12:53:37.047Z,scissors,scissors,Draw
2024-02-01T12:54:04.950Z,rock,rock,Draw
2024-02-01T12:54:33.388Z,paper,paper,Draw
2024-02-01T12:54:59.966Z,scissors,rock,p2
2024-02-01T12:55:31.170Z,scissors,paper,p1
2024-02-01T12:55:52.119Z,rock,paper,p2
2024-02-01T12:56:07.915Z,scissors,scissors,Draw
2024-02-01T12:56:24.625Z,rock,paper,p2
2024-02-01T13:01:30.346Z,paper,paper,Draw
C1 - tutorial
2024-02-01T14:41:26.158Z,invalid,rock,Invalid move
2024-02-01T14:42:24.839Z,rock,scissors,p1
2024-02-01T14:42:50.412Z,paper,paper,Draw
C1 - not blind
2024-02-01T14:44:02.356Z,paper,scissors,p2
2024-02-01T14:44:23.817Z,rock,rock,Draw
2024-02-01T14:44:40.309Z,scissors,invalid,Invalid move
2024-02-01T14:45:17.728Z,paper,paper,Draw
2024-02-01T14:45:35.224Z,scissors,invalid,Invalid move
2024-02-01T14:45:57.195Z,scissors,paper,p1
2024-02-01T14:46:16.547Z,rock,invalid,Invalid move
2024-02-01T14:46:54.112Z,scissors,invalid,Invalid move
2024-02-01T14:47:34.277Z,paper,paper,Draw
2024-02-01T14:48:06.903Z,scissors,scissors,Draw
2024-02-01T14:48:28.980Z,scissors,rock,p2
2024-02-01T14:48:49.294Z,paper,paper,Draw
2024-02-01T14:49:14.898Z,scissors,scissors,scissors
2024-02-01T14:49:34.208Z,paper,invalid,Invalid move
2024-02-01T14:49:59.568Z,scissors,invalid,Invalid move
2024-02-01T14:50:48.125Z,scissors,rock,p2
C1 - blind
2024-02-01T14:52:49.950Z,scissors,scissors,Draw
2024-02-01T14:53:09.743Z,paper,rock,p1
2024-02-01T14:53:27.234Z,rock,scissors,p1
2024-02-01T14:53:53.148Z,scissors,paper,p1
2024-02-01T14:54:25.204Z,scissors,scissors,Draw
2024-02-01T14:54:45.373Z,rock,rock,Draw
2024-02-01T14:55:02.482Z,paper,scissors,p2
2024-02-01T14:55:23.623Z,rock,rock,Draw
2024-02-01T14:55:43.960Z,scissors,paper,p1
2024-02-01T14:56:08.517Z,scissors,paper,p1
C2 - tutorial
2024-02-01T15:33:00.093Z,scissors,rock,p2
2024-02-01T15:33:26.431Z,rock,scissors,p1
2024-02-01T15:33:49.721Z,paper,paper,Draw
C2 - blind
2024-02-01T15:36:01.603Z,rock,paper,p2
2024-02-01T15:36:19.361Z,paper,rock,p1
2024-02-01T15:36:38.250Z,scissors,rock,p2
2024-02-01T15:36:56.340Z,paper,paper,Draw
2024-02-01T15:37:14.100Z,rock,paper,p2
